ID_KH,ID_VOUCHER,SOLUONG,DIENTHOAINHANMA
1,1673,2,(9) 765-807
2,1514,2,(4) 380-043
3,1877,2,(5) 793-983
6,1529,2,6-254-151  
7,2880,2,0-912-592  
10,2354,2,(9) 908-008
11,944,2,3-213-378  
13,3123,2,(3) 071-426
15,5,2,(2) 853-397
17,3798,2,(5) 461-366
20,361,2,9-263-761  
21,2831,2,2-909-625  
23,2038,2,1-979-624  
25,1220,2,9-462-168  
30,1171,2,5-138-386  
31,2004,2,1-669-912  
38,1723,2,0-573-455  
40,807,2,7-231-063  
41,86,2,2-722-710  
42,482,2,8-619-895  
43,3267,2,7-399-349  
44,2864,2,2-829-845  
48,977,2,4-597-816  
50,2089,2,(4) 995-752
55,1363,2,8-660-206  
58,3072,2,7-276-831  
60,3279,2,5-305-860  
61,1520,2,8-377-241  
62,3970,2,(8) 232-599
63,3645,2,(9) 065-555
71,274,2,(8) 824-665
72,2514,2,(2) 367-250
74,3928,2,1-723-586  
75,3357,2,3-480-903  
76,560,2,(1) 298-676
77,2724,2,(4) 294-494
78,3115,2,2-256-979  
79,28,2,7-753-163  
80,1413,2,(9) 239-071
82,1586,2,(3) 472-542
83,2448,2,0-869-929  
86,64,2,(2) 863-621
87,1280,2,(5) 371-079
88,1661,2,(4) 937-440
92,2408,2,(8) 081-968
93,1684,2,2-212-565  
95,2420,2,6-181-785  
97,1105,2,(1) 216-054
98,1270,2,(3) 875-880
99,958,2,(1) 945-461
101,843,2,6-603-763  
103,1117,2,(1) 515-056
106,3613,2,2-394-550  
108,2026,2,(5) 679-619
109,1065,2,(0) 548-882
112,3442,2,(0) 536-031
116,2698,2,(3) 035-696
122,82,2,(1) 159-288
127,1904,2,3-312-176  
128,980,2,7-334-565  
129,2918,2,(4) 555-157
133,2531,2,2-038-026  
134,1768,2,4-071-827  
135,3332,2,5-669-978  
136,1825,2,7-212-113  
137,528,2,6-573-993  
140,3200,2,7-003-026  
141,1347,2,9-839-864  
142,2651,2,7-206-307  
143,1653,2,(2) 575-812
145,775,2,6-497-022  
146,1466,2,(2) 651-606
147,1766,2,(6) 140-031
148,2181,2,1-947-269  
150,2863,2,3-938-404  
151,3015,2,(9) 703-348
152,3300,2,8-098-286  
154,3280,2,7-544-722  
155,2712,2,5-591-146  
157,242,2,6-885-445  
158,2127,2,8-767-794  
159,416,2,(6) 156-268
160,3677,2,6-203-058  
161,2995,2,(8) 548-631
162,2889,2,0-771-782  
167,1880,2,(5) 336-660
173,1602,2,(4) 841-587
174,2742,2,9-762-021  
175,625,2,2-063-398  
179,3765,2,(7) 591-964
182,1718,2,8-048-291  
183,1244,2,(3) 857-768
184,596,2,7-221-812  
185,1713,2,8-256-435  
186,1073,2,1-110-598  
188,2664,2,(2) 100-559
190,336,2,4-141-164  
192,1272,2,(3) 975-131
193,3452,2,5-741-664  
194,1191,2,8-706-485  
196,3036,2,(8) 496-297
197,2401,2,(5) 740-053
199,3524,2,4-715-596  
204,2435,2,(9) 626-814
206,1306,2,5-537-846  
207,1272,2,8-805-757  
209,3224,2,1-535-415  
211,1493,2,3-873-597  
212,2472,2,7-919-975  
213,14,2,(0) 860-851
217,585,2,2-977-805  
219,3142,2,(4) 240-669
220,3568,2,(9) 974-785
221,3668,2,(2) 388-333
223,2677,2,(3) 501-152
226,3149,2,(8) 174-796
227,1283,2,5-839-764  
228,2852,2,(6) 007-930
232,2096,2,(8) 021-025
234,588,2,6-675-055  
236,2040,2,7-538-944  
237,3178,2,(9) 260-400
241,26,2,(6) 893-020
242,1521,2,2-586-054  
244,2406,2,(0) 936-708
246,3181,2,(4) 966-563
247,1734,2,(1) 410-460
248,527,2,6-161-522  
249,3833,2,7-446-060  
250,3755,2,(8) 382-041
251,3425,2,(7) 621-694
252,1399,2,(3) 489-354
253,706,2,1-330-795  
255,3043,2,8-679-938  
256,3655,2,3-821-409  
257,60,2,6-101-267  
259,1922,2,(1) 530-816
262,3612,2,(1) 019-376
263,2635,2,3-528-903  
264,2415,2,8-606-141  
266,338,2,1-067-926  
268,1006,2,(3) 376-856
272,699,2,(5) 998-229
273,146,2,7-980-213  
274,328,2,6-099-662  
277,277,2,(4) 978-101
278,125,2,5-171-818  
279,1993,2,3-437-187  
280,1291,2,1-423-320  
281,519,2,(8) 567-132
285,3500,2,7-306-402  
286,1491,2,(9) 997-549
290,822,2,(0) 486-742
291,2412,2,3-925-969  
292,1409,2,7-918-988  
293,1891,2,6-326-826  
294,1749,2,(5) 856-817
298,1932,2,8-155-654  
300,2925,2,1-707-739  
301,3837,2,(8) 035-109
303,3066,2,1-724-043  
306,2348,2,6-479-761  
307,320,2,9-566-406  
310,1612,2,7-580-423  
311,744,2,6-172-238  
312,811,2,5-100-824  
314,874,2,9-772-388  
315,492,2,(5) 663-557
317,2977,2,5-918-093  
318,3843,2,1-640-483  
319,1639,2,8-382-194  
322,904,2,(3) 018-227
323,3840,2,6-908-367  
324,1463,2,5-243-610  
328,3704,2,9-248-980  
329,1046,2,(9) 746-931
333,46,2,(0) 756-462
