ID_VOUCHER,SONHA,DUONG,QUAN,THANHPHO
1,Madison,Phan Xích Long,Quận 1,Tỉnh Hà Giang
2,Stockton,Hẻm 198 Nguyễn Văn Linh,Quận 4,Thành phố Hải Phòng
3,St. Louis,Bùi Hữu Nghĩa,Tân Bình,Tỉnh Hà Giang
5,Denver,Hoàng Minh Giám,Gò Vấp,Tỉnh Gia Lai
6,Memphis,Phan Đăng Lưu,Quận 1,Tỉnh Hưng Yên
7,Seattle,Trần Quý Khoách,Tân Bình,Thành phố Cần Thơ
8,Kansas,Tỉnh Lộ 8,Quận 6,Thành phố Cần Thơ
9,Garland,Công Trường Lam Sơn,Quận 1,Tỉnh Gia Lai
10,Richmond,Trương Đình Hội,Quận 7,Tỉnh Hòa Bình
11,Buffalo,Hẻm 320 Nguyễn Văn Linh,Quận 8,Tỉnh Hà Nam
12,Arlington,Nguyên Hồng,Tân Bình,Tỉnh Gia Lai
13,Sacramento,Hẻm 160 Võ Thị Sáu,Quận 1,Thành phố Hải Phòng
14,Washington,Hoàng Hoa Thám,Tân Phú,Tỉnh Hà Nam
15,Columbus,Đường D1,Quận 12,Tỉnh Hưng Yên
16,Rochester,Lê Hồng Phong,Quận 1,Tỉnh An Giang
17,Las Vegas,Tỉnh Lộ 10,Quận 8,Tỉnh Hà Nam
18,Richmond,Tôn Đức Thắng,Quận 7,Thành phố Hồ Chí Minh
19,Birmingham,Nguyễn Văn Nghi,Quận 3,Tỉnh Hà Nam
20,Chicago,Cầm Bá Thước,Gò Vấp,Thành phố Hồ Chí Minh
21,Dallas,Tô Ký,Quận 4,Thành phố Hồ Chí Minh
22,Mesa,Yersin,Quận 12,Tỉnh Hà Giang
23,Minneapolis,Hẻm 39 Bùi Văn Ba,Quận 10,Tỉnh Hưng Yên
24,Montgomery,Pasteur,Bình Thạnh,Tỉnh Hòa Bình
25,St. Petersburg,Nguyễn Thị Minh Khai,Tân Phú,Tỉnh Hòa Bình
26,San Jose,Yersin,Quận 1,Tỉnh Gia Lai
27,El Paso,Cầu Bùi Hữu Nghĩa,Quận 5,Tỉnh An Giang
28,Cincinnati,Nguyễn Thị Thập,Quận 10,Tỉnh Hưng Yên
30,Aurora,Phạm Hồng Thái,Quận 8,Tỉnh An Giang
31,Baton Rouge,Phạm Văn Chiêu,Tân Phú,Tỉnh Hòa Bình
32,Anaheim,Bình Quới,Phú Nhuận,Thành phố Đà Nẵng
33,El Paso,Trương Hán Siêu,Tân Bình,Thành phố Cần Thơ
34,Corpus Christi,Hồ Văn Huê,Quận 4,Tỉnh Hà Tĩnh
35,New Orleans,Trần Huy Liệu,Tân Phú,Tỉnh Hà Tĩnh
36,Columbus,Võ Văn Kiệt,Bình Thạnh,Tỉnh Hòa Bình
37,St. Louis,Kỳ Ðồng,Quận 4,Tỉnh Hòa Bình
38,Baton Rouge,Nguyễn Thượng Hiền,Quận 6,Tỉnh Gia Lai
40,Cleveland,Cầu Him Lam,Quận 4,Thành phố Hà Nội
41,Little Rock,Rừng Sác,Bình Tân,Thành phố Hà Nội
42,Anaheim,Ðồng Khởi,Quận 10,Thành phố Hải Phòng
43,Portland,Cống Quỳnh,Quận 12,Tỉnh Hà Nam
44,Denver,Nguyễn Thượng Hiền,Quận 8,Tỉnh Gia Lai
45,Mesa,Hồng Hà,Quận 6,Thành phố Hồ Chí Minh
46,Toledo,Đường Số 1,Quận 4,Thành phố Hà Nội
47,Riverside,Cầu An Hạ 1,Quận 1,Tỉnh Hà Giang
48,Corpus Christi,Tôn Đản,Tân Phú,Thành phố Hồ Chí Minh
49,Las Vegas,Hẻm 91 Trần Quang Diệu,Tân Bình,Thành phố Hà Nội
50,Portland,Hoàng Diệu,Quận 11,Tỉnh Hòa Bình
51,Dayton,Tỉnh Lộ 8,Bình Thạnh,Thành phố Hồ Chí Minh
52,Columbus,Nguyễn Trãi,Quận 4,Tỉnh Hà Nam
53,Rochester,Hồng Hà,Quận 4,Tỉnh Hà Tĩnh
54,Anchorage,Cầu An Hạ 1,Quận 1,Tỉnh Hà Giang
55,Washington,Cao Đạt,Quận 10,Thành phố Hồ Chí Minh
56,Lubbock,Pasteur,Bình Thạnh,Tỉnh Hòa Bình
57,Albuquerque,Hẻm 102 Cống Quỳnh,Quận 12,Tỉnh Hòa Bình
58,Garland,Đông Hưng Thuận 6,Quận 8,Tỉnh An Giang
59,New York,Lê Văn Thịnh,Quận 8,Thành phố Hồ Chí Minh
60,Madison,Phạm Hùng,Quận 12,Tỉnh Hưng Yên
61,Boston,Bùi Thị Xuân,Tân Bình,Tỉnh Hà Giang
62,Jackson,Tôn Đản,Phú Nhuận,Tỉnh Hà Tĩnh
63,San Diego,Phan Đăng Giảng,Quận 6,Thành phố Hải Phòng
64,Anaheim,Thảo Điền,Phú Nhuận,Tỉnh Hưng Yên
65,Detroit,Xô Viết Nghệ Tĩnh,Quận 11,Tỉnh Hà Giang
66,Portland,Hồ Văn Huê,Quận 11,Tỉnh Hòa Bình
67,Detroit,Lê Lợi,Quận 3,Thành phố Hà Nội
68,Anchorage,Nguyễn Bỉnh Khiêm,Quận 7,Thành phố Hồ Chí Minh
69,Shreveport,Võ Văn Kiệt,Tân Bình,Tỉnh Hưng Yên
70,Raleigh,Hẻm 174 Nguyễn Thiện Thuật,Bình Thạnh,Tỉnh Hà Giang
71,Akron,Nguyễn Duy Dương,Quận 1,Tỉnh An Giang
72,Chicago,Cầu Phú Mỹ,Quận 7,Thành phố Hà Nội
73,Newark,Hẻm 391 Sư Vạn Hạnh,Quận 12,Tỉnh Hòa Bình
74,Colorado,Chương Dương,Quận 11,Thành phố Hà Nội
75,Sacramento,Nguyễn Thị Nhỏ,Phú Nhuận,Thành phố Hồ Chí Minh
76,New York,Hồ Văn Huê,Gò Vấp,Tỉnh An Giang
77,Rochester,Nguyễn Công Trứ,Quận 7,Tỉnh An Giang
78,San Francisco,Nguyễn Xí,Tân Phú,Tỉnh Hà Tĩnh
79,St. Louis,Xuân Thuỷ,Quận 3,Thành phố Đà Nẵng
81,Louisville,Trần Huy Liệu,Quận 6,Thành phố Hồ Chí Minh
82,Oakland,Đường Số 8,Quận 1,Tỉnh Hà Nam
83,Akron,Lê Văn Sỹ,Phú Nhuận,Tỉnh Hà Tĩnh
84,Long Beach,Tỉnh Lộ 10,Bình Thạnh,Thành phố Đà Nẵng
85,Toledo,Lê Trọng Tấn,Gò Vấp,Thành phố Đà Nẵng
86,New Orleans,Hương Lộ 2,Quận 1,Tỉnh Hưng Yên
87,Louisville,Hẻm 266 Tô Hiến Thành,Quận 12,Tỉnh Hòa Bình
88,Indianapolis,Đặng Nguyên Cẩn,Bình Tân,Thành phố Đà Nẵng
89,Chicago,Cầu Chà Và,Tân Phú,Tỉnh Hưng Yên
90,Miami,Hương Lộ 2,Phú Nhuận,Tỉnh Gia Lai
91,Garland,Cầu Kênh Tẻ,Bình Thạnh,Tỉnh Hòa Bình
92,Baton Rouge,Tháp Mười,Quận 1,Thành phố Hồ Chí Minh
93,Dallas,Lý Thường Kiệt,Bình Tân,Tỉnh Hưng Yên
94,Memphis,Nguyễn Bỉnh Khiêm,Phú Nhuận,Tỉnh An Giang
95,St. Louis,Bà Hạt,Gò Vấp,Thành phố Hà Nội
96,St. Louis,Nguyễn Huy Tưởng,Quận 4,Thành phố Hồ Chí Minh
97,Norfolk,Đồng Nai,Quận 12,Tỉnh Gia Lai
98,Seattle,Phan Đăng Lưu,Tân Bình,Tỉnh Hà Giang
100,Kansas,Lê Đức Thọ,Quận 7,Thành phố Hải Phòng
101,Toledo,Phạm Văn Bạch,Quận 5,Thành phố Hà Nội
102,Sacramento,Lê Thị Bạch Cát,Phú Nhuận,Thành phố Hồ Chí Minh
103,Fresno,Ngô Gia Tự,Bình Thạnh,Tỉnh Hà Tĩnh
104,Oklahoma,Lê Văn Khương,Quận 1,Thành phố Hải Phòng
105,Minneapolis,Cầu Văn Thánh,Quận 1,Tỉnh Hà Tĩnh
106,Sacramento,Cầu An Lộc,Quận 5,Thành phố Hồ Chí Minh
107,Columbus,Bến Mễ Cốc,Quận 1,Thành phố Hồ Chí Minh
108,Aurora,Suối Lội,Tân Bình,Thành phố Đà Nẵng
109,Charlotte,Quang Trung,Tân Phú,Thành phố Cần Thơ
110,Los Angeles,Hẻm 125 Bùi Đình Túy,Quận 10,Tỉnh Hà Giang
111,Shreveport,Cầu Chữ Y,Tân Bình,Tỉnh Hưng Yên
112,St. Paul,Hồ Tùng Mậu,Quận 7,Thành phố Cần Thơ
113,Denver,Hoàng Việt,Gò Vấp,Tỉnh Gia Lai
114,Virginia Beach,Nguyễn Kim,Bình Tân,Thành phố Hải Phòng
115,Cleveland,An Dương Vương,Bình Thạnh,Thành phố Đà Nẵng
116,El Paso,Hẻm 166 Lý Thái Tổ,Quận 5,Tỉnh Hà Nam
117,Grand Rapids,Điện Biên Phủ,Bình Tân,Thành phố Hà Nội
118,Las Vegas,Đường Số 8,Gò Vấp,Thành phố Cần Thơ
119,Aurora,Cầu Bến Nẩy,Phú Nhuận,Thành phố Đà Nẵng
120,Birmingham,Hồ Văn Long,Bình Tân,Tỉnh An Giang
121,Philadelphia,Bế Văn Cấm,Gò Vấp,Tỉnh Hòa Bình
122,Stockton,Mạc Thiên Tích,Tân Phú,Thành phố Hà Nội
123,Washington,Cầu Bông,Bình Thạnh,Thành phố Hà Nội
124,Little Rock,Nguyễn Thiện Thuật,Quận 12,Thành phố Đà Nẵng
125,Cleveland,Hẻm 174 Nguyễn Thiện Thuật,Quận 5,Tỉnh Hà Giang
126,Rochester,Hẻm 53/1 Trần Khánh Dư,Quận 7,Thành phố Hồ Chí Minh
127,Akron,Phan Đăng Giảng,Quận 12,Thành phố Hà Nội
128,New York,Quốc Lộ 1a,Quận 7,Thành phố Hà Nội
129,Colorado,Trần Khánh Dư,Quận 12,Tỉnh Hòa Bình
130,Houston,Nguyễn Thượng Hiền,Bình Tân,Tỉnh Hưng Yên
131,San Antonio,Vũ Tông Phan,Quận 7,Tỉnh Hưng Yên
132,Memphis,Cầu An Lộc,Quận 10,Tỉnh Hòa Bình
133,Greensboro,Nguyễn Trọng Tuyển,Quận 6,Thành phố Đà Nẵng
134,Houston,Đặng Văn Ngữ,Gò Vấp,Tỉnh An Giang
