ID_DH,THOIGIANDAT,TRANGTHAI,THOIGIANGIAO,THOIGIANXN,DIACHIGIAOHANG,TONGCONG,ID_COUPONGIAMGIA,MA_HTGH,MA_HTTT,ID_KH,ID_NV,ID_PO
1,1/1/2020 0:00,3,1/8/2020 0:00,NULL,"156 pAn Lạc A, QBình Tân, TpHCM",0,494,HTGH003   ,HTTT005   ,9566,411,818
2,1/1/2020 0:15,3,1/8/2020 0:15,NULL,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",0,643,HTGH002   ,HTTT003   ,6335,60,559
3,1/1/2020 0:30,4,1/8/2020 0:30,NULL,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,0,654,HTGH002   ,HTTT003   ,4851,60,1002
4,1/1/2020 0:45,2,1/8/2020 0:45,NULL,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",0,1456,HTGH002   ,HTTT003   ,7272,155,443
5,1/1/2020 1:00,4,1/8/2020 1:00,NULL,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",0,706,HTGH001   ,HTTT002   ,71,267,274
6,1/1/2020 1:15,6,NULL,NULL,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",0,1741,HTGH002   ,HTTT003   ,9546,334,468
7,1/1/2020 1:30,5,1/8/2020 1:30,1/9/2020 1:30,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,72,HTGH002   ,HTTT003   ,2087,373,470
8,1/1/2020 1:45,3,1/8/2020 1:45,NULL,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",0,1943,HTGH001   ,HTTT001   ,4661,114,31
9,1/1/2020 2:00,5,1/8/2020 2:00,1/9/2020 2:00,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",0,1749,HTGH003   ,HTTT005   ,2840,470,996
10,1/1/2020 2:15,4,1/8/2020 2:15,NULL,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",0,1976,HTGH001   ,HTTT002   ,3433,338,315
