ID_KH,TEN_KH,DIACHI_KH,GIOITINH_KH,EMAIL_KH,NGAYSINH_KH,SDT_KH,USERNAME_KH,PASS_KH,TIKIXU,MA_HTTT
1,Nguyễn Hoàng Gia Đạt,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",0,julezrb88@gmail.com,1992-10-30 00:59:00,180501339,Chanda735,Kentucky,0,HTTT002
2,Vũ Quang Đạt,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",1,kdrsoh.lqcvatvd@gmail.com,1991-02-19 04:47:00,957659802,Carolyn798,Nebraska,100,HTTT003
3,Lê Đặng Việt Anh,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",1,hehvzza.cnslu@gmail.com,1988-03-12 23:19:00,690180611,Christine176,New Hampshire,200,HTTT002
4,Tạ Minh Đức,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",1,swedfju.ousrqdgvx@gmail.com,1991-06-19 01:02:00,260453456,Sidney43,Kansas,300,HTTT004
5,Quốc Thanh,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",0,crntldry.ipzvwcdor@gmail.com,1990-04-19 13:12:00,939874370,Lewis804,Wisconsin,400,HTTT003
6,Đầu Bảo Linh,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",1,ymld231@gmail.com,1994-10-16 01:40:00,74465339,John0,Missouri,500,HTTT001
7,Bùi Anh Đức,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",1,wruis.dtaolbnvy@gmail.com,1981-10-27 21:03:00,727335931,Edgar032,Minnesota,600,HTTT004
8,Trần Mai Linh,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",0,wvoa.aeqfjlgwi@gmail.com,1989-04-24 15:15:00,495892548,Sara44,Arizona,700,HTTT001
9,Nguyễn Gia Phúc,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",1,biqvq89@gmail.com,1989-09-12 13:30:00,3007,Norman270,West Virginia,800,HTTT004
10,Hưng,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",0,rjnk.iikoprfn@gmail.com,1992-07-02 08:53:00,707431210,Darrell766,Texas,900,HTTT004
11,Mạch Hiểu Lam,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",1,dcjvs.gqafedftn@gmail.com,1989-08-30 23:53:00,83881245,Kevin255,Rhode Island,1000,HTTT001
12,Quang Minh,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",1,bwnqr01@gmail.com,1990-02-19 18:42:00,49973154,Vincent704,Washington,1100,HTTT004
13,Quang Minh,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",0,muek040@gmail.com,1984-07-22 09:37:00,520995900,Ericka544,Kentucky,1200,HTTT002
14,Đoàn Danh Hưng,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",0,bhin@gmail.com,1995-11-11 17:47:00,912621251,Rhonda873,Missouri,1300,HTTT001
15,Nguyễn Linh Lan,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",1,scfdqay.zcmwbtpp@gmail.com,1993-12-15 22:52:00,270288260,Aaron509,Washington,1400,HTTT001
16,Lê Nguyễn Nhật Anh,120 Phan Xích Long P3 Quận Bình Thạnh,1,mlqdb7@gmail.com,1985-02-26 09:58:00,507387851,Salvador612,Florida,1500,HTTT001
17,Vinh,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1,quoan.qzxuv@gmail.com,1982-02-28 14:28:00,258788744,Jay417,Maryland,1600,HTTT005
18,Lê Đặng Việt Anh,"68 Nguyễn Huệ, P. Bến Nghé, Quận",0,gusdy.whrsvqkto@gmail.com,1982-10-17 06:02:00,193421674,Nick199,Alaska,1700,HTTT003
