ID_NBH,TENNBH,USERNAMENBH,PASSNBH,VAT,SDTNBH,EMAILNBH,MDK_KINHDOANH,TENCUAHANG,DCHICUAHANG,ID_DMN,MA_MHVH
1,Alana Nolan,Valerie631          ,N7pudagrbYL2        ,ZID403         ,5868639479,kbksull.fvhxmaeqgq@gmail.com  ,45047,Floweradri,Louisville,95,MHVH004   
2,Jami Reilly,Teri18              ,k58WMpuvBsrU        ,DEQ9           ,2823 822549,rsgjwwn.yrmhhzugfc@gmail.com  ,1639,Space Shine,San Diego,107,MHVH005   
3,Freddie Kramer,Steven403           ,fszcCuLpAG5q        ,GON8633        ,4299526445,nsxfbnvh.khxmusiph@gmail.com  ,73041,Orange Shine,Norfolk,100,MHVH004   
4,Beth Heath,Kendrick39          ,2kXbMEHJuScR        ,TUC3351        ,7410 945728,guxvriif.vzfely@gmail.com     ,46641,Thrive Newworld,Omaha,73,MHVH003   
5,Judy Glover,Suzanne173          ,gRdKfhqjZmM6        ,BAP7586        ,8026 859340,pefnbzgt.jlaolol@gmail.com    ,60993,Flower Cloud,St. Petersburg,27,MHVH002   
6,Lamont Melton,Mark588             ,x9yTbJ6Eg8ct        ,ROK31694       ,9385 765401,tpvofuk.fxqxddbhj@gmail.com   ,62527,Ridge Victory,Miami,73,MHVH003   
7,Duane Ramirez,Susan323            ,gGJV7kzmKDu2        ,FIN614         ,6092064590,gdrydgm.atvxnjhak@gmail.com   ,92053,Flower Blossom,Newark,118,MHVH005   
8,Wade Bowen,Everett036          ,K6rkGbCYAvQV        ,DIV            ,2611 004569,fmwvjmrl.hdjyikt@gmail.com    ,37349,Flower Blossom,Norfolk,58,MHVH003   
9,Sheldon Herring,Devin125            ,yFNc7xAZBW3f        ,NUD51010       ,3011468867,yrommtc.jsuksbxtuz@gmail.com  ,46548,Fierce Victory,Montgomery,128,MHVH005   
10,Kristian Gordon,Joann27             ,aE3Zzxsv2tew        ,MES8           ,7921525154,bitowwy.ccyrfq@gmail.com      ,47907,Flower Viola,Sacramento,36,MHVH002   
11,Calvin Walters,Drew648             ,ky8c7Dag6QRs        ,QAK9531        ,4149 322953,vyikswqd.cplhahp@gmail.com    ,34152,Victoryaza,Pittsburgh,38,MHVH002   
