ID_PO,MAPO,TRANGTHAI,NGAYPO,MINCODEPGH,LIENHE,NGAYGUIHANGDK,LOAIHINHNHAPKHO,GHICHU,DIACHIGIAOHANG,TONGTIEN,MA_MHVH,MAKHO,ID_NBH
1,70749645,1,1/1/2020 0:00,5.14E+12,Lang,1/1/2020 4:00,Nhập kho trực tiếp,RX97L44Q1N3ZOBQI6GV8ZQMPXZN4C0BCNATXH1EF8WFLOYJ,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",14360000,MHVH005   ,KHO008    ,9518
2,10458232,1,1/1/2020 0:15,6.34E+12,Mccarty,1/1/2020 4:15,Nhập kho trực tiếp,4L70AL30A,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",8632000,MHVH003   ,KHO006    ,5707
3,10431745,1,1/1/2020 0:30,5.87E+12,Dougherty,1/1/2020 4:30,Nhập kho trực tiếp,ALG0E1CRBEIS152F03B11Y,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",13286000,MHVH003   ,KHO006    ,8279
4,85184086,1,1/1/2020 0:45,6.14E+12,O'Neill,1/1/2020 4:45,Nhập kho trực tiếp,UZRSA117SMXQSY8ID8WM5ABK2YUL,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",4220000,MHVH003   ,KHO004    ,2795
5,55427082,1,1/1/2020 1:00,4.27E+12,Friedman,1/1/2020 5:00,Nhập kho trực tiếp,O9IB5M0M81PA6P53E9HRKYS4CAJN6PB6F74DFFNB8V566CYK5H,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,3358000,MHVH002   ,KHO003    ,6101
6,18746400,0,1/1/2020 1:15,7.40E+11,Ritter,1/1/2020 5:15,Nhập kho trực tiếp,PDUFQHDZU3CFJQJU,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",1077000,MHVH003   ,KHO005    ,9205
7,61980803,0,1/1/2020 1:30,4.91E+12,Ho,1/1/2020 5:30,Nhập kho trực tiếp,,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",175000,MHVH003   ,KHO005    ,1087
8,25819956,0,1/1/2020 1:45,9.34E+12,Roy,1/1/2020 5:45,Nhập kho trực tiếp,SOZL6IPTLXZBYIP1LTLS,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",25092000,MHVH001   ,KHO001    ,1488
9,73229375,0,1/1/2020 2:00,7.59E+12,Sharp,1/1/2020 6:00,Nhập kho trực tiếp,W1FT8WFMGNIZZDSP47BPXVFZI4UQH4P,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",11920000,MHVH005   ,KHO009    ,4708
10,38299071,1,1/1/2020 2:15,7.58E+12,Bird,1/1/2020 6:15,Nhập kho trực tiếp,77WNJSXMA759HCZ4XBHM92H0LGA31P4BY9SSG5,120 Phan Xích Long P3 Quận Bình Thạnh,5730000,MHVH002   ,KHO003    ,2807
11,15294464,0,1/1/2020 2:30,2.77E+11,Parsons,1/1/2020 6:30,Nhập kho trực tiếp,C9PFPP5H55PS6N2Z4QV13HTKK3TB8K7OR55DKMRAFY,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",28520000,MHVH005   ,KHO008    ,8969
12,44587916,0,1/1/2020 2:45,4.40E+12,Gillespie,1/1/2020 6:45,Nhập kho trực tiếp,YCWXOVAN1K32UF4UMWU9LY111HPEHZKM4CV8O55FXW53,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",15379000,MHVH001   ,KHO001    ,1014
13,41990048,1,1/1/2020 3:00,3.21E+12,Proctor,1/1/2020 7:00,Nhập kho trực tiếp,2AXGR4EKOJZBVW66V,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",16302000,MHVH003   ,KHO005    ,6753
14,91749859,1,1/1/2020 3:15,6.66E+12,Murray,1/1/2020 7:15,Nhập kho trực tiếp,2ZHYIKV6HREBOTXDY7RXPV61GTVXS9Y91Q2364RDLL,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",7224000,MHVH004   ,KHO007    ,9421
15,94700200,0,1/1/2020 3:30,8.80E+12,Lawrence,1/1/2020 7:30,Nhập kho trực tiếp,N6DU6EIXZEYG7TGHPO,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",4375000,MHVH001   ,KHO001    ,8521
16,81165430,1,1/1/2020 3:45,3.04E+12,Chung,1/1/2020 7:45,Nhập kho trực tiếp,D8,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",3824000,MHVH003   ,KHO005    ,267
17,35313961,1,1/1/2020 4:00,8.92E+12,Chen,1/1/2020 8:00,Nhập kho trực tiếp,59YQT6UFEC,"156 pAn Lạc A, QBình Tân, TpHCM",4554000,MHVH005   ,KHO009    ,9146
18,1539928,0,1/1/2020 4:15,3.38E+12,Vega,1/1/2020 8:15,Nhập kho trực tiếp,8IV2YOJABZU3AVAQM2ON7EU03WGKB3J0LBZBKEQZE3WT,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",3876000,MHVH004   ,KHO007    ,6933
19,73553325,0,1/1/2020 4:30,1.58E+12,Ramsey,1/1/2020 8:30,Nhập kho trực tiếp,6NVJG7DPPXUNVZ28YZ8GUIYVY57BO84H1PX,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",6620000,MHVH002   ,KHO004    ,3548
20,31178823,1,1/1/2020 4:45,6.99E+12,Mosley,1/1/2020 8:45,Nhập kho trực tiếp,K1VV5AWE5NPFORG3ODGNPZKA010HTCL52TNX4C,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",1440000,MHVH005   ,KHO009    ,571
21,41901438,0,1/1/2020 5:00,8.30E+12,Farley,1/1/2020 9:00,Nhập kho trực tiếp,KLJQBGSNXS0SO89JLGKV49ELS1JDU3IZC3W2,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",4568000,MHVH004   ,KHO007    ,5230
22,27057668,1,1/1/2020 5:15,2.72E+12,Jensen,1/1/2020 9:15,Nhập kho trực tiếp,89T8E3PSJXWSA2GJH5A7YY9WEST91GLC7DC7QMP5PS8,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",15930000,MHVH002   ,KHO003    ,3566
23,78301006,1,1/1/2020 5:30,4.64E+10,Mendez,1/1/2020 9:30,Nhập kho trực tiếp,MKK12FUXLV6A0XTLAGR3CKLWQ8SUF4H6P4AT8R6MMNRC7,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",360000,MHVH004   ,KHO008    ,8389
