ID_QUATANGSN,PHIQUATANG,THONGDIEP,TENNGUOINHAN,DIACHIGIAOQUA,ID_DH
1,25000,Happy Birthday!,Mai Bảo Ân,"156 pAn Lạc A, QBình Tân, TpHCM",818
2,45000,Chúc mừng sinh nhật.,Trương Công Minh,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",559
3,25000,Life is a journey.,Thái Doãn Phát,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",1002
4,45000,Cuộc đời là một chuyến hành trình.,Phạm Thịnh Phú,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",443
5,25000,Chúc mừng sinh nhật!,Đầu Quang Hải,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",274
6,45000,Chúc bạn luôn xinh đẹp và hạnh phúc,Tạ Hữu Đức Mạnh,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",468
7,25000,Hãy luôn yêu đời nhé !,Lưu Lê Tự Kiên,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",470
8,45000,Chúc mừng sinh nhật!,Nguyễn Huỳnh Bảo Nam,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",31
9,25000,"Another year older, another year wiser. ",Trần Minh Dương,"156 pAn Lạc A, QBình Tân, TpHCM",996
10,45000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Lê Nguyễn Nhật Anh,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",315
11,25000,Chúc mừng sinh nhật bạn thân!,Đỗ Anh Dương,"233đường Trục, P.13, Q. BìnhThạnh",849
12,45000,Party hard - this is YOUR day\,Nguyễn Đức Hiển,120 Phan Xích Long P3 Quận Bình Thạnh,33
13,25000,Chúc mừng sinh nhật người đẹp.,Nguyễn Thanh Tùng,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",527
14,45000,Một ngày được phủ tràn nắng ấm,Lê Xuân Bách,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",688
15,25000,Happy Birthday!,Benjamin,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",82
16,45000,Life is a journey.,Hoàng Văn Việt,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",454
17,25000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Đỗ Nhật Huy,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",989
18,45000,Happy Birthday.,Tâm An,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",763
19,25000,Forget the past; look forward to the future,Trần Quang Thịnh,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",382
20,45000,for the best things are yet to come,Minh,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",958
21,25000,Life is a journey.,Đinh Trần Huy Khôi,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",716
22,45000,"Thêm một tuổi mới, thêm khôn ngoan.",Văn Dũng,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",1005
23,25000,Chúc mừng sinh nhật người đẹp.,Trần Xuân Quang,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",795
24,45000,Hãy luôn yêu đời nhé !,Bùi Tiến Trọng,"156 pAn Lạc A, QBình Tân, TpHCM",458
25,25000,Chúc mừng sinh nhật.,Nguyễn Tạ Ân Bình,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",222
26,45000,"Another year older, another year wiser. ",Nguyễn Ngọc Tấn Nguyên,"156 pAn Lạc A, QBình Tân, TpHCM",719
27,25000,Chúc bạn luôn xinh đẹp và hạnh phúc,Nguyễn Vũ Khôi Nguyên,"156 pAn Lạc A, QBình Tân, TpHCM",488
28,45000,Happy Birthday,Nguyễn Quang Đăng,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,879
29,25000,Một ngày được phủ tràn nắng ấm,Vũ Minh Phát,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",736
30,45000,Chúc mừng sinh nhật.,Nguyễn Ngọc Mai,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",680
31,25000,Chúc mừng sinh nhật!,Lê Việt Anh,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",219
32,45000,Chúc mừng sinh nhật.,Trương Minh Triết,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",897
33,25000,Happy Birthday!,Đỗ Vĩnh An,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",839
34,45000,May beauty and happiness surround you,Lê Châu Anh,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",645
35,25000,"Thêm một tuổi mới, thêm khôn ngoan.",Đỗ Vĩnh An,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",220
36,45000,Party điii…!!,Trần Việt Anh,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",482
37,25000,Chúc mừng sinh nhật.,Nguyễn Mai Thảo,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",720
38,45000,Hãy luôn yêu đời nhé !,Juan Ming Shi,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",101
39,25000,Chúc mừng sinh nhật!,Thủy Phương,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",1026
40,45000,Happy Birthday,Bùi Ngọc Minh,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",906
41,25000,Party điii…!!,Nguyễn Đại Nam,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",477
42,45000,"Hãy gác lại quá khứ, hướng đến tương lai.",Lê Quốc Bảo,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",326
43,25000,Happy Birthday.,Nguyễn Quốc Triệu,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",469
44,45000,Chúc mừng khởi đầu một năm hành trình mới,Trương Minh Triết,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",810
45,25000,Một ngày được phủ tràn nắng ấm,An Hải Nam,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",765
46,45000,May beauty and happiness surround you,Phạm Nguyên Quỳnh Anh,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",295
47,25000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Nguyễn Minh Quyền,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",664
48,45000,Life is a journey.,Xuân Tùng,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",287
49,25000,Hãy luôn yêu đời nhé !,Nguyễn Thị Bình Minh,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",223
50,45000,"Another year older, another year wiser. ",Hưng,"156 pAn Lạc A, QBình Tân, TpHCM",69
51,25000,Party hard - this is YOUR day\,Đoàn Minh Tuấn,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",694
52,45000,for the best things are yet to come,Công Khanh,"156 pAn Lạc A, QBình Tân, TpHCM",928
53,25000,Party hard - this is YOUR day\,Benjamin,"68 Nguyễn Huệ, P. Bến Nghé, Quận",929
54,45000,"Another year older, another year wiser. ",Phạm Minh Khôi,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",901
55,25000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Nguyễn Hoàng Điền,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",94
56,45000,May beauty and happiness surround you,Nguyễn Lê Sơn,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",107
57,25000,Chúc mừng sinh nhật bạn thân!,Đỗ Gia Bảo,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",954
58,45000,Chúc bạn luôn xinh đẹp và hạnh phúc,Nguyễn Vinh,"156 pAn Lạc A, QBình Tân, TpHCM",149
59,25000,"Hãy gác lại quá khứ, hướng đến tương lai.",Nguyễn Duy Nguyên,"68 Nguyễn Huệ, P. Bến Nghé, Quận",570
60,45000,Chúc bạn một tuổi mới như thế ^^,Nguyễn Khương Duy,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",619
61,25000,,Kiều Gia Bảo,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",NULL
62,45000,Chúc mừng sinh nhật!,Trịnh Hữu Phúc Minh,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",851
63,25000,Enjoy every mile. Happy Birthday.,Phạm Trung Kiên,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",282
64,45000,Chúc mừng sinh nhật.,Lê Hoàng Giang,"233đường Trục, P.13, Q. BìnhThạnh",959
65,25000,\Tận hưởng từng centimet nhé ;),Nguyễn Danh Hoàng Long,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",388
66,45000,Chúc mừng sinh nhật.,Nguyễn Hoàng Gia Phát,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",281
67,25000,May beauty and happiness surround you,Hoàng Thùy Dung,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",532
68,45000,Chúc mừng khởi đầu một năm hành trình mới,Anh Quân,"156 pAn Lạc A, QBình Tân, TpHCM",1065
