MATAIKHOAN,TENCHUTK,STK,NGANHANGDK,CHINHANH,ID_NBH
002M99PR,Kristy Serrano,371582435992373,Ngoại thương Việt Nam,Columbus,7324
00GC3W39O5,Pamela Webster,4796219953638364,Sài Gòn,Chicago,7880
014G1P,Sonia Stone,340552603263731,Việt Á,Albuquerque,3951
017D7MGNW,Nina Griffith,5245180148231263,Ngân hàng Nông nghiệp và Phát triển Nông thôn VN,Dayton,7684
01ISX7RSAO,Walter Conley,5136009532632434,Đầu tư và Phát triển Việt Nam,El Paso,1505
01Z15J,Zachary Short,341199075888303,Phương Đông,Anchorage,4584
02777TY,Brandy Perry,4482660556758605,Ngân hàng Đông Á,Cleveland,5985
03GPK7,Candace Li,4480035609145666,Việt Nam Thịnh Vượng,Colorado,4487
04G0JV,Gustavo Dillon,4484089566596094,Quân đội,Akron,2701
052XQOEFQA,Darryl Horton,342821298290533,Đầu tư và Phát triển Việt Nam,Arlington,8459
05E16EV2P,Sonja Thomas,372400364740540,Công Thương Việt Nam,Columbus,9353
06LSP0WKHV,Deborah Clayton,341600542952549,Kiên Long,Grand Rapids,1451
06MFIDE,Erika Carney,341686606145971,Sài Gòn-Hà Nội,Dayton,1190
079YR2,Terrance Rojas,4293503790548300,Xuất Nhập khẩu Việt Nam,Baton Rouge,6838
07BSVAF0BN,Ellen Hopkins,4888816469861262,Hàng Hải Việt Nam,Buffalo,5503
07FTU77EI,Christie Gomez,4895430593961492,Việt Nam Thương Tín,Garland,5942
07JFO2Y,Tracy Parker,4377159297376767,Đầu tư và Phát triển Việt Nam,Fort Wayne,8356
085RO26,Connie Barber,5239175345231460,Phương Đông,Grand Rapids,9688
09D0C82OWS,Sheri Whitehead,5357601904979310,Ngân hàng Đông Nam Á,Anaheim,7786
09PKK7L3BL,Glenda Harper,372836532244586,Kiên Long,Columbus,3147
0BGD4JZ9,Warren Barrera,4692430968585970,Đại chúng,Baton Rouge,2014
0BH99X,Duane Ritter,4890228318809383,Việt Nam Thương Tín,Fremont,633
0CARP6,Ashley Roberts,372639106335198,Sài Gòn Thương Tín,Detroit,9465
